batch,cand_id,title,ano_declarado,locator,doi_recuperado,ano_recuperado,veiculo,julgamento
1,C-B1-003,A Step-by-Step Workflow for Performing In Silico Clinical Trials (ISCT),2025,PMC12706418,10.1002/psp4.70122,2025,CPT: Pharmacometrics &amp; Systems Pharm,CONFIRMA
1,C-B1-004,In Silico Clinical Trials in Drug Development: A Systematic Review,2026,Advances in Therapy,10.1007/s43441-025-00893-w,2025,Therapeutic Innovation &amp; Regulatory ,DIVERGE_VERIFICAR
1,C-B1-005,A quantitative systems pharmacology workflow toward optimal design,2024,JACI,10.1016/j.jaci.2023.12.031,2024,Journal of Allergy and Clinical Immunolo,CONFIRMA
1,C-B1-006,Quantitative systems modeling approaches towards drug discovery,2022,Front Syst Biol,10.3389/fsysb.2022.1063308,2023,Frontiers in Systems Biology,DIVERGE_VERIFICAR
1,C-B1-012,Antisense oligonucleotides extend survival of prion-infected mice,2019,JCI,10.1172/jci.insight.131175,2019,JCI Insight,CONFIRMA
2,C-B2-001,Updated global epidemiology atlas of human prion diseases,2024,PMC,10.3389/fpubh.2024.1411489,2024,Frontiers in Public Health,CONFIRMA
2,C-B2-002,Nationwide trend analysis of incidence and mortality of CJD (Japao),2020,Scientific Reports,10.1016/s0140-6736(05)61824-7,1997,The Lancet,DIVERGE_VERIFICAR
2,C-B2-007,New implications for prion diseases therapy and prophylaxis (review),2024,PMC,10.3389/fnmol.2024.1324702,2024,Frontiers in Molecular Neuroscience,CONFIRMA
2,C-B2-010,Immunotherapy against Prion Disease,2020,Pathogens 9(3):216,10.3390/pathogens9030216,2020,Pathogens,CONFIRMA
2,C-B2-011,From in silico prediction to experimental validation,2025,PubMed,10.1186/2045-7022-4-s2-o4,2014,Clinical and Translational Allergy,DIVERGE_VERIFICAR
2,C-B2-012,From in silico prediction to cellular validation,2026,ScienceDirect,10.1016/j.phyplu.2026.101023,2026,Phytomedicine Plus,CONFIRMA
2,C-B2-013,From In Silico Hypothesis to Validation: Role of Real-World Data (drug repurposing PD),2026,J Clin Med 15(7):2801,10.1016/j.drudis.2022.103422,2023,Drug Discovery Today,DIVERGE_VERIFICAR
2,C-B2-014,Predictive Modelling in pharmacokinetics: from in-silico methods to AI,2024,Expert Opin Drug Metab Toxicol,10.1080/17425255.2024.2330666,2024,Expert Opinion on Drug Metabolism &amp; ,CONFIRMA
2,C-B2-015,A Meta-Synthetic Taxonomy of Foresight Methodologies,N/A,SSRN,10.2139/ssrn.5352605,2025,,DIVERGE_VERIFICAR
3,C-B3-002,The importance of ongoing international surveillance for CJD,2021,Nature Reviews Neurology,10.1038/s41582-021-00488-7,2021,Nature Reviews Neurology,CONFIRMA
3,C-B3-003,Epidemiological characteristics of human prion diseases,2016,Infect Dis Poverty,10.1186/s40249-016-0143-8,2016,Infectious Diseases of Poverty,CONFIRMA
3,C-B3-004,2.7 A cryo-EM structure of ex vivo RML prion fibrils,2022,Nature Communications,10.1038/s41467-022-30457-7,2022,Nature Communications,DIVERGE_VERIFICAR
3,C-B3-005,A structural basis for prion strain diversity (2.6 A cryo-EM),2023,PMC,10.1101/2022.05.17.492259,2022,,DIVERGE_VERIFICAR
3,C-B3-006,Prion strains viewed through the lens of cryo-EM (review),2022,PMC,10.1007/s00441-022-03676-z,2022,Cell and Tissue Research,CONFIRMA
3,C-B3-007,Genetic prion disease mutation E196K cryo-EM fibril structure,2021,Science Advances,10.1126/sciadv.abg9676,2021,Science Advances,DIVERGE_VERIFICAR
3,C-B3-008,The Positively Charged Cluster in the N-terminal region of PrP,2024,J Mol Biol,10.1016/j.jmb.2024.168576,2024,Journal of Molecular Biology,CONFIRMA
3,C-B3-009,Cryo-EM of prion strains from the same genotype (22L; 3.2 A),2022,bioRxiv,10.1101/2022.09.19.508587,2022,,CONFIRMA
3,C-B3-011,Role of Model-Informed Drug Development in regulatory review,2022,PMC,10.1002/jcph.1478,2019,The Journal of Clinical Pharmacology,DIVERGE_VERIFICAR
3,C-B3-014,Advancing drug development with Fit-for-Purpose modeling (MIDD),2025,Pharm Res,10.1007/s10928-025-09995-2,2025,Journal of Pharmacokinetics and Pharmaco,CONFIRMA
4,C-B4-003,Global burden of 369 diseases and injuries in 204 countries (GBD capstone),2020,The Lancet,10.1016/s0140-6736(20)30925-9,2020,The Lancet,CONFIRMA
4,C-B4-004,Insights from Therapeutic Studies for PrP Prion Disease,2017,PMC,10.1101/cshperspect.a024430,2016,Cold Spring Harbor Perspectives in Medic,DIVERGE_VERIFICAR
4,C-B4-005,Continuous Quinacrine Treatment Results in Formation of Drug-Resistant Prions,2009,PLoS Pathogens,10.1371/journal.ppat.1000673,2009,PLoS Pathogens,CONFIRMA
4,C-B4-006,Prion therapeutics: Lessons from the past (IND24+Anle138b combinacao),2022,Prion (T&F),10.1080/19336896.2022.2153551,2022,Prion,CONFIRMA
4,C-B4-007,Alternating anti-prion regimens reduce combination drug-resistant prion strains,2021,PMC,10.1099/jgv.0.001705,2021,Journal of General Virology,CONFIRMA
4,C-B4-008,Therapeutic trial of anle138b in mouse models of genetic prion disease,2022,bioRxiv,10.1101/2022.10.11.511739,2022,,CONFIRMA
4,C-B4-010,Open science interventions to improve reproducibility and replicability,2025,PMC,10.1098/rsos.242057,2025,Royal Society Open Science,CONFIRMA
4,C-B4-011,Adapting Open Science and Pre-registration to Longitudinal Designs,2022,PMC,10.1002/icd.2315,2022,Infant and Child Development,CONFIRMA
4,C-B4-012,The reliability of replications: a study in computational reproduction,2025,Royal Society Open Science,10.1098/rsos.241038,2025,Royal Society Open Science,CONFIRMA
